"","x"
"1","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/1/Grid_GLM_train.dataset_model_R_1525123790907_1_model_335"
"2","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/2/Grid_GLM_train.dataset_model_R_1525123790907_1_model_503"
"3","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/3/Grid_GLM_train.dataset_model_R_1525123790907_1_model_253"
"4","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/4/Grid_GLM_train.dataset_model_R_1525123790907_1_model_329"
"5","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/5/Grid_GLM_train.dataset_model_R_1525123790907_1_model_345"
"6","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/6/Grid_GLM_train.dataset_model_R_1525123790907_1_model_255"
"7","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/7/Grid_GLM_train.dataset_model_R_1525123790907_1_model_549"
"8","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/8/Grid_GLM_train.dataset_model_R_1525123790907_1_model_860"
"9","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/9/Grid_GLM_train.dataset_model_R_1525123790907_1_model_947"
"10","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/10/Grid_GLM_train.dataset_model_R_1525123790907_1_model_762"
"11","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/11/Grid_GLM_train.dataset_model_R_1525123790907_1_model_322"
"12","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/12/Grid_GLM_train.dataset_model_R_1525123790907_1_model_690"
"13","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/13/Grid_GLM_train.dataset_model_R_1525123790907_1_model_312"
"14","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/14/Grid_GLM_train.dataset_model_R_1525123790907_1_model_515"
"15","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/15/Grid_GLM_train.dataset_model_R_1525123790907_1_model_491"
"16","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/16/Grid_GLM_train.dataset_model_R_1525123790907_1_model_423"
"17","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/17/Grid_GLM_train.dataset_model_R_1525123790907_1_model_66"
"18","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/18/Grid_GLM_train.dataset_model_R_1525123790907_1_model_12"
"19","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/19/Grid_GLM_train.dataset_model_R_1525123790907_1_model_33"
"20","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/20/Grid_GLM_train.dataset_model_R_1525123790907_1_model_108"
"21","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/21/Grid_GLM_train.dataset_model_R_1525123790907_1_model_514"
"22","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/22/Grid_GLM_train.dataset_model_R_1525123790907_1_model_63"
"23","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/23/Grid_GLM_train.dataset_model_R_1525123790907_1_model_23"
"24","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/24/Grid_GLM_train.dataset_model_R_1525123790907_1_model_259"
"25","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/25/Grid_GLM_train.dataset_model_R_1525123790907_1_model_314"
"26","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/26/Grid_GLM_train.dataset_model_R_1525123790907_1_model_447"
"27","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/27/Grid_GLM_train.dataset_model_R_1525123790907_1_model_475"
"28","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/28/Grid_GLM_train.dataset_model_R_1525123790907_1_model_550"
"29","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/29/Grid_GLM_train.dataset_model_R_1525123790907_1_model_798"
"30","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/30/Grid_GLM_train.dataset_model_R_1525123790907_1_model_868"
"31","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/31/Grid_GLM_train.dataset_model_R_1525123790907_1_model_392"
"32","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/32/Grid_GLM_train.dataset_model_R_1525123790907_1_model_487"
"33","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/33/Grid_GLM_train.dataset_model_R_1525123790907_1_model_591"
"34","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/34/Grid_GLM_train.dataset_model_R_1525123790907_1_model_679"
"35","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/35/Grid_GLM_train.dataset_model_R_1525123790907_1_model_824"
"36","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/36/Grid_GLM_train.dataset_model_R_1525123790907_1_model_606"
"37","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/37/Grid_GLM_train.dataset_model_R_1525123790907_1_model_478"
"38","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/38/Grid_GLM_train.dataset_model_R_1525123790907_1_model_141"
"39","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/39/Grid_GLM_train.dataset_model_R_1525123790907_1_model_433"
"40","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/40/Grid_GLM_train.dataset_model_R_1525123790907_1_model_700"
"41","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/41/Grid_GLM_train.dataset_model_R_1525123790907_1_model_826"
"42","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/42/Grid_GLM_train.dataset_model_R_1525123790907_1_model_644"
"43","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/43/Grid_GLM_train.dataset_model_R_1525123790907_1_model_67"
"44","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/44/Grid_GLM_train.dataset_model_R_1525123790907_1_model_575"
"45","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/45/Grid_GLM_train.dataset_model_R_1525123790907_1_model_64"
"46","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/46/Grid_GLM_train.dataset_model_R_1525123790907_1_model_135"
"47","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/47/Grid_GLM_train.dataset_model_R_1525123790907_1_model_782"
"48","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/48/Grid_GLM_train.dataset_model_R_1525123790907_1_model_286"
"49","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/49/Grid_GLM_train.dataset_model_R_1525123790907_1_model_723"
"50","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/50/Grid_GLM_train.dataset_model_R_1525123790907_1_model_923"
"51","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/51/Grid_GLM_train.dataset_model_R_1525123790907_1_model_808"
"52","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/52/Grid_GLM_train.dataset_model_R_1525123790907_1_model_381"
"53","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/53/Grid_GLM_train.dataset_model_R_1525123790907_1_model_589"
"54","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/54/Grid_GLM_train.dataset_model_R_1525123790907_1_model_724"
"55","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/55/Grid_GLM_train.dataset_model_R_1525123790907_1_model_101"
"56","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/56/Grid_GLM_train.dataset_model_R_1525123790907_1_model_507"
"57","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/57/Grid_GLM_train.dataset_model_R_1525123790907_1_model_498"
"58","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/58/Grid_GLM_train.dataset_model_R_1525123790907_1_model_603"
"59","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tg_brooder_Ta_pen/59/Grid_GLM_train.dataset_model_R_1525123790907_1_model_231"
