"","x"
"1","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/1/Grid_GLM_train.dataset_model_R_1525182357085_1_model_416"
"2","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/2/Grid_GLM_train.dataset_model_R_1525182357085_1_model_659"
"3","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/3/Grid_GLM_train.dataset_model_R_1525182357085_1_model_756"
"4","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/4/Grid_GLM_train.dataset_model_R_1525182357085_1_model_946"
"5","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/5/Grid_GLM_train.dataset_model_R_1525182357085_1_model_750"
"6","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/6/Grid_GLM_train.dataset_model_R_1525182357085_1_model_193"
"7","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/7/Grid_GLM_train.dataset_model_R_1525182357085_1_model_56"
"8","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/8/Grid_GLM_train.dataset_model_R_1525182357085_1_model_12"
"9","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/9/Grid_GLM_train.dataset_model_R_1525182357085_1_model_329"
"10","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/10/Grid_GLM_train.dataset_model_R_1525182357085_1_model_126"
"11","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/11/Grid_GLM_train.dataset_model_R_1525182357085_1_model_721"
"12","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/12/Grid_GLM_train.dataset_model_R_1525182357085_1_model_280"
"13","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_brooder/13/Grid_GLM_train.dataset_model_R_1525182357085_1_model_746"
