"","x"
"1","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/1/Grid_GLM_train.dataset_model_R_1525173688417_1_model_917"
"2","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/2/Grid_GLM_train.dataset_model_R_1525173688417_1_model_67"
"3","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/3/Grid_GLM_train.dataset_model_R_1525173688417_1_model_308"
"4","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/4/Grid_GLM_train.dataset_model_R_1525173688417_1_model_93"
"5","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/5/Grid_GLM_train.dataset_model_R_1525173688417_1_model_778"
"6","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/6/Grid_GLM_train.dataset_model_R_1525173688417_1_model_438"
"7","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/7/Grid_GLM_train.dataset_model_R_1525173688417_1_model_158"
"8","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/8/Grid_GLM_train.dataset_model_R_1525173688417_1_model_543"
"9","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/9/Grid_GLM_train.dataset_model_R_1525173688417_1_model_567"
"10","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/10/Grid_GLM_train.dataset_model_R_1525173688417_1_model_468"
"11","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/11/Grid_GLM_train.dataset_model_R_1525173688417_1_model_271"
"12","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/12/Grid_GLM_train.dataset_model_R_1525173688417_1_model_566"
"13","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/13/Grid_GLM_train.dataset_model_R_1525173688417_1_model_722"
"14","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/14/Grid_GLM_train.dataset_model_R_1525173688417_1_model_157"
"15","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/15/Grid_GLM_train.dataset_model_R_1525173688417_1_model_233"
"16","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/16/Grid_GLM_train.dataset_model_R_1525173688417_1_model_545"
"17","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/17/Grid_GLM_train.dataset_model_R_1525173688417_1_model_995"
"18","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/18/Grid_GLM_train.dataset_model_R_1525173688417_1_model_464"
"19","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/19/Grid_GLM_train.dataset_model_R_1525173688417_1_model_329"
"20","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/20/Grid_GLM_train.dataset_model_R_1525173688417_1_model_12"
"21","/home/public/OneDrive/Cornell/Publications/2018/Piglets 2013/code/V05/R/ML_training/GLM/Tr_Ta_pen/21/Grid_GLM_train.dataset_model_R_1525173688417_1_model_921"
