algorithm,Predicted,Predictor,model,MSE_CV,MSE_training,MSE_testing,MSE_mean,error_training_mean,error_training_SEM,error_training_max,error_training_percent_mean,error_training_percent_SEM,error_training_percent_max,error_testing_mean,error_testing_SEM,error_testing_max,error_testing_percent_mean,error_testing_percent_SEM,error_testing_percent_max,error_mean_mean,error_mean_SEM,error_mean_max,error_mean_percent_mean,error_mean_percent_SEM,error_mean_percent_max,algorithm_run_time,time_performance_CV,time_prediction_training,time_performance_training,time_prediction_testing,time_performance_testing,time_prediction_mean,time_performance_mean,time_errors,n_models,n_training,n_testing,n_mean
LM,Ta_brooder,Ta_pen; heat,,1.518806,1.474013,2.704065,0.2622375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM,Ta_brooder,Ta_pen; heat,1,1.50882808748348,1.4473911264357,2.83449728257772,0.240995742038578,0.881935503867682,0.10592491152754,5.45352577534021,3.56629293117335,0.413238764911967,16.2245690812084,1.17496751534632,0.256797462279225,5.0322688130937,4.58163596137056,0.959549527061887,14.9876736932835,0.349042009922078,0.108914681943009,1.19839606959124,1.35269887863877,0.402498885125298,4.07451156670708,468.803648471832,0.083351135253906,7.00979447364807,0.121334791183472,7.31169176101685,7.5459897518158,6.93747210502625,57.8096039295197,5.0502724647522,1000,130,43,20
RF,Ta_brooder,Ta_pen; heat,591,1.22190749598706,1.43140594609331,2.56183784171063,0.959060332044843,0.510631548555312,0.068706908174432,4.32026064591181,2.02736874129979,0.252431487612855,12.8530367666685,1.05207733669126,0.239930170645748,5.55000716756185,3.98389742114218,0.836014880964837,16.6000636112475,0.831089247917983,0.162538134369178,1.77144005571093,3.37766481338758,0.62027796342774,6.62602442212728,528.69436621666,0.073268890380859,9.11973881721497,0.114087343215942,7.90594291687012,8.12623405456543,7.95196342468262,153.606328725815,5.11514854431152,1000,130,43,20
GBM,Ta_brooder,Ta_pen; heat,800,0.992203337268335,0.307566520664001,2.22457021576772,0.996446163305707,0.373981948705186,0.048828632930787,2.0313464389557,1.49127031876966,0.187323481719782,8.19874560883974,0.95217979907422,0.227483368990793,5.28724921638025,3.53668765076252,0.765033547299746,15.8141549498193,0.859707866903535,0.186635651370247,2.2583037126635,3.51041055301265,0.731932796511034,8.44712498424552,395.126457929611,0.091253280639648,7.24697494506836,0.113115787506104,8.03125500679016,8.25728940963745,7.93412899971008,242.264630079269,4.92478775978088,1000,130,43,20
DL,Ta_brooder,Ta_pen; heat,1164,1.39232363148838,1.8937500804127,2.99734335431828,0.66354510147982,1.10784481482737,0.111242911774364,5.30818419524545,4.68668319205903,0.454349752604697,16.4573381158013,1.35669634534396,0.263816771868306,4.62355036690412,5.57812036593342,1.04712668116372,16.239253212963,0.692635940614673,0.14677309453117,1.54817467281929,2.97502179141016,0.631113521756742,7.88477042434065,8581.37640070915,0.155287742614746,167.0599360466,0.139121055603027,41.5716593265533,41.8375425338745,20.2682619094849,785.262480735779,10.1432569026947,2000,130,43,20
LM,Tg_brooder,Ta_brooder; heat,,0.6695657,0.6373659,0.4807037,0.174193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM,Tg_brooder,Ta_brooder; heat,1,0.649191430374387,0.618922363877236,0.43384586646471,0.177036820547436,0.486259281422584,0.069266497747762,4.79173030745777,1.89193126795764,0.247678837421962,14.6657508737921,0.458481011454277,0.098351571459212,1.88899879314584,1.87996835547717,0.41668860278195,8.63206157431818,0.322094426290598,0.093128529465707,1.07318049329942,1.26364685885516,0.360849962299731,3.66822350927926,460.997189283371,0.08416485786438,6.96528363227844,0.123099088668823,7.25495862960815,7.47939538955688,7.09354257583618,55.6481111049652,5.14566278457642,1000,130,43,20
RF,Tg_brooder,Ta_brooder; heat,668,0.26954831780205,0.332875102438706,0.290527923431904,0.155942432721452,0.166207662712696,0.021805907560512,0.957331717734053,0.639316586453527,0.081802073060727,3.89706956015693,0.351769570490397,0.080518333739528,1.78324996612692,1.40393339420936,0.331641947721949,8.14882654550218,0.359151563977995,0.087674584522359,0.74146558125253,1.45284152430592,0.357108432458842,2.73440398265191,514.50273680687,0.08376407623291,7.96977162361145,0.120050668716431,8.71046137809753,8.95630717277527,8.77108097076416,151.239080667496,5.03426742553711,1000,130,43,20
GBM,Tg_brooder,Ta_brooder; heat,158,0.21614970445654,0.067325320770816,0.445994783792507,0.252624031575729,0.10170329247642,0.022845180240638,2.16494537933328,0.399756912815675,0.083775580491629,6.65764894289841,0.396777784032644,0.102340832716679,2.16795371266658,1.54026921805631,0.383862299129193,7.88336276869107,0.43319892513816,0.114298932552174,0.893048762446199,1.7000913074038,0.440428993748092,3.29900676823688,390.477975845337,0.095047235488892,7.57764029502869,0.124963998794556,8.14018177986145,8.39452075958252,8.24527072906494,238.099592447281,4.86735367774963,1000,130,43,20
DL,Tg_brooder,Ta_brooder; heat,1775,0.548755557079309,0.576860750653884,0.626787222594998,0.371460843701041,0.515191879687294,0.062031916650102,4.04493320137969,2.03556575338248,0.22140598766959,12.3800754270826,0.54876255328269,0.103598893592978,2.52968037707716,2.23301561663661,0.436423803122564,11.5597515771354,0.517054677033154,0.089129264363876,1.39278697500511,2.0593384342318,0.367744705580306,6.13163279762055,8465.18687224388,0.133509397506714,165.973626613617,0.142874956130981,45.8028259277344,46.098051071167,19.6215307712555,788.348753213882,9.31203961372375,2000,130,43,20
