Day,Time_in_degress,Hour,Brooder,Heat_source_power,Sequence,Piglet,Tr,Ts,Ta_brooder,RH_brooder,Tg_brooder,Ta_pen,Th_IR,Irradiance
1,4.56,4,1,0,1,1,36.3,33.12,19.95,59.3289272727273,20.16,14.71,30.6,0.00
1,4.58,4,1,0,2,6,39.32,33.05,19.8285714285714,59.3222678571429,20.0666666666667,14.71,32.33,0.00
1,4.6,4,2,60,1,2,38.46,34.71,20.833375,NA,21.0894583333333,14.71,32.85,31.25
1,4.62,4,2,60,2,7,38.81,34.13,20.869,NA,21.1244,14.71,34.07,31.25
1,4.66,4,3,100,1,3,38.59,32.18,23.7088596491228,41.6188421052632,24.0253157894737,14.71,32.44,44.00
1,4.68,4,3,100,2,8,NA,33.62,23.7364137931034,41.6060689655173,24.0461551724138,14.71,32.45,44.00
1,4.7,4,4,160,1,4,38.59,33.85,24.2143220338983,36.5264576271186,24.2315423728814,14.71,34.04,71.75
1,4.72,4,4,160,2,9,38.65,35.21,24.2640819672131,36.5047868852459,24.2959016393443,14.71,34.5,71.75
1,4.74,4,5,200,1,5,39.61,34.92,24.7763076923077,40.2738615384615,25.4013230769231,14.71,34.82,94.75
1,4.76,4,5,200,2,10,38.96,33.92,24.805552238806,40.2776417910448,25.4384776119403,14.71,33.73,94.75
1,5.01666666666667,5,1,0,1,1,37.1,32.64,17.7666666666667,58.2778333333333,18.6333333333333,14.97,31.19,0.00
1,5.05,5,1,0,2,6,37.3,31.54,17.8,58.2687692307692,18.925,14.97,31.88,0.00
1,5.08333333333333,5,2,60,1,2,38.14,32.41,19.9938571428571,NA,20.2421428571429,14.97,30.76,31.25
1,5.11666666666667,5,2,60,2,7,NA,32.97,20.1218,NA,20.3097,14.97,31.99,31.25
1,5.15,5,3,100,1,3,37.88,33.01,22.5342352941176,40.4918235294118,23.655,14.97,33.45,44.00
1,5.18333333333333,5,3,100,2,8,37.51,34.55,22.5647368421053,40.504,23.7105789473684,14.97,33.46,44.00
1,5.21666666666667,5,4,160,1,4,38.03,34.04,25.0294761904762,36.1599047619048,25.8125714285714,14.97,33.66,71.75
1,5.25,5,4,160,2,9,37.28,34.09,25.1212608695652,36.060347826087,25.8712608695652,14.97,34.12,71.75
1,5.28333333333333,5,5,200,1,5,37.83,34.91,24.83072,38.37368,25.5936,14.97,34.06,94.75
1,5.31666666666667,5,5,200,2,10,38.02,NA,24.7925185185185,38.3882962962963,25.5723703703704,14.97,32.97,94.75
1,6.01666666666667,6,1,0,1,1,36.64,29.35,18.92,58.0389090909091,19.32,15.26,28.89,0.00
1,6.05,6,1,0,2,6,37.54,29.93,18.9,58.0443043478261,19.25,15.26,30.14,0.00
1,6.08333333333333,6,2,60,1,2,38.11,30.82,20.2886363636364,NA,20.3439545454545,15.26,29.55,31.25
1,6.11666666666667,6,2,60,2,7,37.29,31.08,20.3068333333333,NA,20.355625,15.26,30.78,31.25
1,6.15,6,3,100,1,3,37.35,32.83,22.67090625,42.7800740740741,24.1884074074074,15.26,31.16,44.00
1,6.18333333333333,6,3,100,2,8,37.89,31.7,22.6848529411765,42.8533666666667,24.1970666666667,15.26,31.16,44.00
1,6.21666666666667,6,4,160,1,4,37.83,32.56,25.3206111111111,34.9424444444445,26.3403888888889,15.26,33.13,71.75
1,6.25,6,4,160,2,9,38,32.96,25.3173157894737,34.9325,26.3275789473684,15.26,33.59,71.75
1,6.28333333333333,6,5,200,1,5,37.53,33.17,26.0843,38.878925,27.388875,15.26,33.85,94.75
1,6.31666666666667,6,5,200,2,10,39.09,31.64,26.1186428571429,38.8141190476191,27.4344047619048,15.26,32.76,94.75
1,7.01666666666667,7,1,0,1,1,36.19,30.56,18.56,58.9920454545455,19.04,15.51,28.72,0.00
1,7.05,7,1,0,2,6,36.96,32.62,18.4666666666667,59.0072083333333,18.95,15.51,29.98,0.00
1,7.08333333333333,7,2,60,1,2,37.41,29.94,20.017962962963,NA,20.0223703703704,15.51,29.93,31.25
1,7.11666666666667,7,2,60,2,7,37.43,31.85,20.028,NA,20.0248333333333,15.51,31.15,31.25
1,7.15,7,3,100,1,3,37.06,33.02,22.42940625,42.41028125,23.981625,15.51,31.35,44.00
1,7.18333333333333,7,3,100,2,8,38,31.74,22.4420882352941,42.4481470588235,23.9906176470588,15.51,31.35,44.00
1,7.21666666666667,7,4,160,1,4,37.87,31.76,25.6816388888889,36.28025,26.2665,15.51,31.26,71.75
1,7.25,7,4,160,2,9,37.87,33.07,25.7227631578947,36.2287368421053,26.2967894736842,15.51,31.72,71.75
1,7.28333333333333,7,5,200,1,5,37.68,33.35,26.7908974358974,36.6460769230769,28.2464615384615,15.51,33.2,94.75
1,7.31666666666667,7,5,200,2,10,38.27,31.98,26.8095365853659,36.688,28.2506341463415,15.51,32.11,94.75
2,4.01666666666667,4,1,0,1,1,37.62,34.53,21.5,NA,23,17.24,32,0.00
2,4.05,4,1,0,2,6,38.59,35.22,21.35,NA,22.85,17.24,32,0.00
2,4.08333333333333,4,2,60,1,2,38.83,34.71,23.1759090909091,59.6284090909091,23.6446923076923,17.24,34.55,31.25
2,4.11666666666667,4,2,60,2,7,38.88,33.96,23.24996,59.27544,23.6446923076923,17.24,34.01,31.25
2,4.15,4,3,100,1,3,39.23,33.8,25.3855925925926,54.5081851851852,25.0387037037037,17.24,33.75,44.00
2,4.18333333333333,4,3,100,2,8,39.13,35.49,25.4287586206896,54.3296551724138,25.0054482758621,17.24,34.78,44.00
2,4.21666666666667,4,4,160,1,4,38.48,35.48,27.1045517241379,46.9737586206897,27.5746896551724,17.24,33.88,71.75
2,4.25,4,4,160,2,9,38.63,34.38,27.1534516129032,46.7912258064516,27.5908387096774,17.24,35.48,71.75
2,4.28333333333333,4,5,200,1,10,38.4,35.44,27.8950303030303,52.7617272727273,29.798,17.24,36,94.75
2,4.31666666666667,4,5,200,2,5,38.38,33.97,27.9611714285714,52.5377428571428,29.8349142857143,16.91,36,94.75
2,5.01666666666667,5,1,0,1,1,38.15,33.97,21.38,NA,21.72,16.91,33.71,0.00
2,5.05,5,1,0,2,6,37.59,34.71,21.2166666666667,NA,21.65,16.91,34.3,0.00
2,5.08333333333333,5,2,60,2,2,38.53,33.61,23.1937777777778,56.9598518518519,21.8835185185185,16.91,35.3,31.25
2,5.11666666666667,5,2,60,1,7,38.46,34.98,23.1888,57.0826666666667,22.0191666666667,16.91,35.6,31.25
2,5.15,5,3,100,1,3,38.81,34.3,25.03153125,53.039625,25.6285625,16.91,35.2,44.00
2,5.18333333333333,5,3,100,2,8,37.84,35.21,25.0220882352941,52.9999705882353,25.6675882352941,16.91,35.7,44.00
2,5.21666666666667,5,4,160,1,9,38.42,35.22,26.9218888888889,45.5530277777778,27.44425,16.91,35.6,71.75
2,5.25,5,4,160,2,4,38.29,34.91,26.928,45.5586578947368,27.4461842105263,16.91,36.4,71.75
2,5.28333333333333,5,5,200,2,10,39.11,33.94,29.990825,44.514575,30.129075,16.91,35,94.75
2,5.31666666666667,5,5,200,1,5,38.97,33.94,30.0262619047619,44.4484047619048,30.1405,16.91,36.8,94.75
2,6.01666666666667,6,1,0,1,1,36.57,32.45,20.74,NA,21,16.74,32.05,0.00
2,6.05,6,1,0,2,6,37.85,32.61,20.65,NA,20.9666666666667,16.74,33.8,0.00
2,6.08333333333333,6,2,60,2,2,38.63,32.24,23.277037037037,59.7956296296296,NA,16.74,34.9,31.25
2,6.11666666666667,6,2,60,1,7,37.75,32.74,23.3142333333333,59.7730333333333,NA,16.74,35.7,31.25
2,6.15,6,3,100,1,8,37.26,34.42,24.60353125,52.01525,25.93803125,16.74,34.2,44.00
2,6.18333333333333,6,3,100,2,3,38.47,32.36,24.61,52.0633529411765,25.9409411764706,16.74,35.8,44.00
2,6.21666666666667,6,4,160,1,4,37.61,33.45,26.3206111111111,47.9431666666667,27.3666666666667,16.74,36,71.75
2,6.25,6,4,160,2,9,37.83,34.22,26.3319736842105,47.9448421052632,27.3713684210526,16.74,35.4,71.75
2,6.28333333333333,6,5,200,2,10,37.87,34.98,30.146325,43.250575,29.806875,16.74,36,94.75
2,6.31666666666667,6,5,200,1,5,38.26,33.42,30.1605,43.2933095238095,29.8084523809524,16.74,37,94.75
2,7.01666666666667,7,1,0,1,1,37,30.82,20.22,NA,20.42,16.8,30.7,0.00
2,7.05,7,1,0,2,6,36.59,30.79,20.1166666666667,NA,20.4,16.8,30.54,0.00
2,7.08333333333333,7,2,60,2,7,37.16,31.1,23.2328888888889,59.1136666666667,23.4316666666667,16.8,33.7,31.25
2,7.11666666666667,7,2,60,1,2,37.71,31.57,23.2336,59.0277,23.4221,16.8,35.3,31.25
2,7.15,7,3,100,1,8,38.08,32.9,24.73778125,52.92196875,26.0855625,16.8,34.4,44.00
2,7.18333333333333,7,3,100,2,3,38.27,30.83,24.7335294117647,52.9404411764706,26.0805,16.8,35.6,44.00
2,7.21666666666667,7,4,160,1,4,37.94,31.96,27.1165833333333,45.7451388888889,28.0348333333333,16.8,35.6,71.75
2,7.25,7,4,160,2,9,37.45,31.57,27.1655789473684,45.6447894736842,28.0635263157895,16.8,34.7,71.75
2,7.28333333333333,7,5,200,2,10,37.52,30.99,29.83285,42.918225,29.6775,16.8,35.4,94.75
2,7.31666666666667,7,5,200,1,5,37.95,31.32,29.8409761904762,42.8848095238095,29.6775,16.8,36,94.75
3,4.01666666666667,4,1,0,1,1,38.51,34.3,21,NA,21.6,16.91,33.87,0.00
3,4.05,4,1,0,2,6,38.17,34.48,20.9,NA,21.6,16.91,31.51,0.00
3,4.08333333333333,4,2,60,1,7,38.36,34.11,24.9076363636364,54.7105909090909,25.8694545454545,16.91,34.4,31.25
3,4.11666666666667,4,2,60,2,2,38.15,33.51,24.97984,54.2334,25.95,16.91,35.6,31.25
3,4.15,4,3,100,1,8,38.34,35.02,25.0256666666667,53.9494814814815,25.9970740740741,16.91,35.1,44.00
3,4.18333333333333,4,3,100,2,3,38.37,34.13,25.0693448275862,53.6822068965517,26.041,16.91,35.1,44.00
3,4.21666666666667,4,4,160,1,9,38.41,34.96,27.9257419354839,42.1445483870968,28.6018709677419,16.91,36.6,71.75
3,4.25,4,4,160,2,4,NA,34.32,27.9691515151515,42.0406060606061,28.6171212121212,16.91,34.6,71.75
3,4.28333333333333,4,5,200,1,10,39.07,34.44,28.6487142857143,44.5784857142857,29.8777714285714,16.91,35.2,94.75
3,4.31666666666667,4,5,200,2,5,39.04,33.44,28.6658108108108,44.4944864864865,29.8865945945946,16.22,34.2,94.75
3,5.01666666666667,5,1,0,1,1,38.34,34.35,20.18,NA,21.06,16.22,32,0.00
3,5.05,5,1,0,2,6,38.15,34.12,20.15,NA,20.9666666666667,16.22,33.22,0.00
3,5.08333333333333,5,2,60,1,7,38.26,34.83,25.6207037037037,47.1725555555556,25.9189259259259,16.22,33.9,31.25
3,5.11666666666667,5,2,60,2,2,38,34.56,25.707,46.9968,25.9152333333333,16.22,35.6,31.25
3,5.15,5,3,100,1,8,38.29,NA,25.760375,46.8965,25.9159375,16.22,36.4,44.00
3,5.18333333333333,5,3,100,2,3,38.3,34.06,25.8089117647059,46.7555882352941,25.9165588235294,16.22,34.6,44.00
3,5.21666666666667,5,4,160,1,9,38.37,34.65,29.1209166666667,38.0689722222222,28.953,16.22,36.5,71.75
3,5.25,5,4,160,2,4,38,34.48,29.1614210526316,37.952,28.953,16.22,36,71.75
3,5.28333333333333,5,5,200,1,10,38.83,34.46,28.17705,42.5639,28.834275,15.63,36.9,94.75
3,5.31666666666667,5,5,200,2,5,38.3,NA,28.1867857142857,42.4955952380952,28.8375714285714,15.63,34.9,94.75
3,6.01666666666667,6,1,0,1,1,37.6,32.03,20.74,NA,20.94,15.63,32,0.00
3,6.05,6,1,0,2,6,37.4,33.26,20.5833333333333,NA,20.9333333333333,15.63,32,0.00
3,6.08333333333333,6,2,60,1,2,37,32.15,25.8097407407407,49.4222962962963,25.7408148148148,15.63,33.9,31.25
3,6.11666666666667,6,2,60,2,7,37.4,33.81,25.8031666666667,49.4917666666667,25.8216333333333,15.63,35.5,31.25
3,6.15,6,3,100,1,8,36.3,33.57,25.7971875,49.51459375,25.86859375,15.63,36.1,44.00
3,6.18333333333333,6,3,100,2,3,37.9,32.41,25.7904705882353,49.5289117647059,25.9100294117647,15.63,34.7,44.00
3,6.21666666666667,6,4,160,1,9,38,33.68,28.8053055555556,37.9844444444445,NA,15.63,36.6,71.75
