"Hour","Heat_source_power","Tr","Ts","Ta_brooder","RH_brooder","Tg_brooder","Ta_pen","Th_IR","Irradiance","Ta_brooder_increase"
4,0,38.028,33.901,20.8078571428571,59.3255975649351,21.4776666666667,16.377,32.072,0,0
5,0,37.62,33.1711111111111,20.1256666666667,58.2733012820512,20.6058333333333,15.878,32.455,0,0
6,0,37.319,31.493,20.1553333333333,58.0416067193676,20.5113333333333,15.645,31.084,0,0
7,0,36.979,30.505,19.635,58.9996268939394,19.92,15.664,31.194,0,0
4,60,38.362,33.835,22.848949452862,50.5455661111111,23.5890282679358,16.349,34.218,31.25,2.04109231000481
5,60,38.0775,33.3755555555556,22.9140394179894,47.0209875,22.7147812169312,15.812,33.915,31.25,2.78837275132273
6,60,37.73375,31.975,22.905161043771,50.9246851851852,22.9775312394781,15.634,33.743,31.25,2.74982771043771
7,60,37.662,31.0866666666667,22.47607,51.3555296296297,22.8755983539095,15.739,33.318,31.25,2.84106999999998
4,100,38.4811111111111,33.801,24.4884198649761,46.7398698997589,25.2120476427292,16.206,34.042,44,3.68056272211899
5,100,37.997,33.4655555555556,24.3325166989164,44.0587226102941,25.1214347329721,15.937,34.691,44,4.20685003224973
6,100,37.769,32.2926,24.1135288602941,45.2937584123094,25.131476083878,15.676,34.282,44,3.95819552696079
7,100,37.8544444444444,31.687,23.8025998161765,46.0087740808824,24.8916698529412,15.925,33.74,44,4.16759981617647
4,160,38.4325,34.5022222222222,26.7345838598978,40.2721870610889,27.4852276552102,16.22,35.23,71.75,5.92672671704066
5,160,37.993,33.849,27.0392693200392,37.4925126856998,27.5477439023283,16.123,35.588,71.75,6.91360265337255
6,160,37.8944444444444,33.0155555555556,26.8893861111111,37.9804245614035,27.1931023391813,15.635,35.342,71.75,6.73405277777779
7,160,37.8566666666667,31.852,26.7714605263158,38.3839590643275,27.116168128655,16.018,34.318,71.75,7.13646052631578
4,200,38.624,34.002,27.4757136662715,43.684850705011,29.578841729118,16.131,35.045,94.75,6.6678565234144
5,200,38.2411111111111,33.7285714285714,29.2828760279316,37.7166679480128,29.4362756527624,15.816,35.073,94.75,9.1572093612649
6,200,37.889,32.47125,29.4120178571429,37.8383102380952,29.6420426190476,15.509,35.061,94.75,9.25668452380954
7,200,37.601,31.868,29.1373564973644,37.2436830407397,29.2317582415349,16.156,34.371,94.75,9.50235649736441
