"Hour","Heat_source_power","Tr","Ts","Ta_brooder","RH_brooder","Tg_brooder","Ta_pen","Th_IR","Irradiance","Ta_brooder_increase"
10,10,10,10,10,2,10,10,10,10,10
10,10,9,9,10,2,10,10,10,10,10
10,10,10,10,10,2,10,10,10,10,10
10,10,10,10,10,2,10,10,10,10,10
10,10,10,10,10,8,10,10,10,10,10
10,10,8,9,10,8,6,10,10,10,10
10,10,8,8,10,6,8,10,10,10,10
10,10,10,9,10,6,9,10,10,10,10
10,10,9,10,10,10,10,10,10,10,10
10,10,10,9,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10
10,10,9,10,10,10,10,10,10,10,10
10,10,8,9,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10
10,10,9,9,10,10,8,10,10,10,10
10,10,9,10,10,10,8,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10
10,10,9,7,10,10,10,10,10,10,10
10,10,10,8,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10
